,Volatility_Copper_True_train,Volatility_Copper_3_train_LSTM,Volatility_Copper_5_train_LSTM,Volatility_Copper_7_train_LSTM,Volatility_Copper_9_train_LSTM,Volatility_Copper_11_train_LSTM,Volatility_Copper_13_train_LSTM,Volatility_Copper_15_train_LSTM
2009-07-27,0.360673463787912,0.37849993,0.43890706,0.5181037,0.6734753,0.69890153,0.6867193,0.71388274
2009-07-28,0.3868612133720172,0.426125,0.4963104,0.586033,0.6997468,0.6919874,0.68090355,0.72015053
2009-07-29,0.3909233219034205,0.4350876,0.5184685,0.6492909,0.700827,0.6930733,0.6907808,0.7179619
2009-07-30,0.46059132177243334,0.4966281,0.5932396,0.6749488,0.69272846,0.69067013,0.69714725,0.7186426
2009-07-31,0.4555178708470978,0.5125767,0.6547457,0.67741024,0.6993692,0.7041331,0.6948566,0.70110047
2009-08-03,0.5456239110909469,0.590254,0.67330605,0.6710201,0.7008232,0.7117318,0.69326055,0.71389115
2009-08-04,0.545129020863527,0.6456115,0.67596537,0.67764616,0.7193626,0.7098428,0.6726941,0.71620387
2009-08-05,0.6688746195849158,0.6658166,0.6725003,0.6776112,0.7294372,0.71084744,0.6829514,0.7118567
2009-08-06,0.72589859963746,0.67125416,0.68183315,0.6959429,0.72758,0.69468224,0.68843424,0.73422116
2009-08-07,0.7266717583084926,0.6709133,0.68309325,0.70658624,0.72957814,0.7093757,0.68673086,0.7450543
2009-08-10,0.7285971929450658,0.6814312,0.7042302,0.7048559,0.7094318,0.7144036,0.7080639,0.7437935
2009-08-11,0.728059717035294,0.68113565,0.7117249,0.7080952,0.72858,0.71126556,0.7207658,0.7452928
2009-08-12,0.7427761004084168,0.70206183,0.7112066,0.6894266,0.73671895,0.73412246,0.72045016,0.7566128
2009-08-13,0.7423391977159086,0.70702285,0.7159112,0.707847,0.7327958,0.7467589,0.720511,0.75466406
2009-08-14,0.7720843116704128,0.7085139,0.6946052,0.7128459,0.757782,0.7447608,0.72972214,0.7465605
2009-08-17,0.778182932422436,0.7139317,0.71832234,0.7080703,0.77022743,0.7463087,0.7288049,0.7148301
2009-08-18,0.7776512042229005,0.6939476,0.717648,0.7349434,0.766461,0.7582928,0.7206346,0.72024393
2009-08-19,0.7848477341794392,0.7196058,0.7163363,0.74519044,0.7666187,0.7567318,0.686677,0.73087114
2009-08-20,0.7577519602971666,0.71376866,0.7450954,0.74043113,0.7805216,0.74865943,0.6878887,0.73306733
2009-08-21,0.7940075289700729,0.71559894,0.7495567,0.7421932,0.777778,0.7165725,0.7011487,0.72636014
2009-08-24,0.7869174430915122,0.7405899,0.74760336,0.75500745,0.76763403,0.7212471,0.7068979,0.72693634
2009-08-25,0.786021064683685,0.7433803,0.7510776,0.7506276,0.7294391,0.7335101,0.70143646,0.7017605
2009-08-26,0.8265426235741188,0.7443391,0.76251614,0.7411459,0.7396077,0.73601323,0.69940835,0.6921217
2009-08-27,0.828048716038859,0.7484668,0.7570704,0.7067555,0.7583602,0.7302144,0.67277646,0.5941769
2009-08-28,0.8257165138725348,0.75898534,0.75095403,0.7173349,0.7633073,0.7308771,0.65969974,0.53600705
2009-08-31,0.8315388532962577,0.75349844,0.71525896,0.7334411,0.7536902,0.7047005,0.57541984,0.5556983
2009-09-01,0.8480563226937106,0.7500874,0.73062146,0.73550737,0.7527777,0.6937095,0.5105703,0.56556
2009-09-02,0.8393958759825156,0.7154916,0.7411104,0.7286149,0.7213217,0.6070476,0.5185268,0.56566584
2009-09-03,0.8326365431190212,0.73570573,0.7436436,0.72973245,0.71133333,0.54226446,0.5366601,0.5616611
2009-09-04,0.7870331155903002,0.7383748,0.7384284,0.7001343,0.61252624,0.5539471,0.5453439,0.56234133
2009-09-07,0.8133949315407865,0.741285,0.73970133,0.69073606,0.5425974,0.5681613,0.5430423,0.5452956
2009-09-08,0.8202766124944777,0.7363865,0.70663655,0.59445345,0.56876695,0.56917304,0.5410041,0.532133
2009-09-09,0.8221691920555976,0.73906773,0.7031441,0.5328088,0.595217,0.5652851,0.5244195,0.5375835
2009-09-10,0.8145195283953567,0.70589083,0.6031753,0.5635428,0.6022351,0.5649618,0.5092043,0.5359712
2009-09-11,0.8180646236280656,0.70957386,0.54742914,0.58545756,0.59302074,0.5485547,0.5124362,0.52944124
2009-09-14,0.7747140057228206,0.5928798,0.5759158,0.5836624,0.5866825,0.534362,0.51356053,0.52068406
2009-09-15,0.7758873980340835,0.5592116,0.5860888,0.5766532,0.5655346,0.53958833,0.51024026,0.5169273
2009-09-16,0.6303959248899464,0.5920616,0.59034115,0.57765406,0.5504905,0.53901565,0.5017243,0.51880425
2009-09-17,0.5887657443266504,0.5872842,0.586079,0.55664617,0.5583455,0.5315193,0.4952058,0.4748487
2009-09-18,0.6343309759843648,0.59178257,0.5840683,0.54096997,0.55798626,0.52080995,0.49475306,0.4568224
2009-09-21,0.6275376013348367,0.5865976,0.56212854,0.5494598,0.54977787,0.5151758,0.4594597,0.435103
2009-09-22,0.6288670678138506,0.58675754,0.5488108,0.54755366,0.53673583,0.51509964,0.4360489,0.4249136
2009-09-23,0.6228325896245358,0.5616048,0.5579552,0.5384764,0.5307719,0.4780324,0.41343698,0.39863056
2009-09-24,0.6227795880411782,0.5553233,0.55252093,0.5275621,0.53294647,0.4560396,0.40245754,0.38894415
2009-09-25,0.5932423013603394,0.5631362,0.545298,0.5235668,0.48996416,0.43445262,0.38194114,0.3890526
2009-09-28,0.5832906876215206,0.5533282,0.535007,0.5250356,0.46557832,0.42290193,0.3709165,0.3915716
2009-09-29,0.5957631453748669,0.5483169,0.53033334,0.48194852,0.44382763,0.40058404,0.36983198,0.3856266
2009-09-30,0.5840942547555908,0.5376698,0.53192776,0.46179995,0.43686238,0.38882476,0.3736661,0.37747133
2009-10-01,0.5764347791400717,0.5351559,0.48686534,0.44336262,0.41454,0.38761804,0.37141225,0.3518079
2009-10-05,0.5643365781127021,0.5354739,0.46984926,0.4355263,0.40332252,0.39024907,0.3648849,0.33786836
2009-10-06,0.5611957975900098,0.4810427,0.449617,0.41142136,0.40395254,0.3858598,0.3429183,0.3404501
2009-10-07,0.5626467319461429,0.4804213,0.44110784,0.40137887,0.40899214,0.37839276,0.32617545,0.36168247
2009-10-08,0.49771749523554865,0.45179486,0.41778892,0.40358034,0.4035379,0.3558999,0.32423955,0.37660456
2009-10-09,0.49734506907497156,0.4498876,0.40844592,0.40678853,0.39268005,0.33930779,0.3429319,0.38498312
2009-10-12,0.46661092769371615,0.4176301,0.41071588,0.39933196,0.36432567,0.33816218,0.3610246,0.40167862
2009-10-13,0.4636856277238388,0.4172284,0.41246742,0.38929966,0.3463079,0.35749847,0.3736109,0.3692548
2009-10-14,0.42774062079155384,0.41586953,0.40488037,0.36409315,0.349248,0.37279946,0.3896525,0.35318497
2009-10-15,0.4280586502586714,0.4164415,0.395125,0.34855616,0.37444255,0.38200483,0.36497584,0.34952235
2009-10-16,0.42881427476199063,0.4060875,0.3688596,0.35194746,0.39211044,0.39693558,0.34392914,0.34531808
2009-10-19,0.4294612574469576,0.39873227,0.35446,0.3751308,0.39997,0.37116572,0.33370215,0.3432455
2009-10-20,0.4173608889487571,0.36870676,0.3592503,0.3885557,0.41284865,0.35190722,0.32878774,0.34351623
2009-10-21,0.4086519990751002,0.3614527,0.38299972,0.39309645,0.37859923,0.34448248,0.32839084,0.341832
2009-10-22,0.3730413966024063,0.36683965,0.39277738,0.40733474,0.35590205,0.34066182,0.33001184,0.33487895
2009-10-23,0.3680289828621385,0.38804397,0.39739567,0.37547612,0.3504699,0.33931312,0.3295622,0.33181983
2009-10-26,0.37643882462942924,0.39273936,0.41310674,0.35598096,0.35037932,0.3395868,0.32407945,0.3429097
2009-10-27,0.4042209612442369,0.39950573,0.37675613,0.35317898,0.35243577,0.3383461,0.3203729,0.31426033
2009-10-28,0.4061024129016575,0.4159286,0.35988405,0.35262737,0.353888,0.3323979,0.3284558,0.2875781
2009-10-29,0.4116327857947224,0.36894664,0.35951146,0.3509449,0.35112542,0.32877126,0.30740044,0.29150575
2009-10-30,0.43228491252200607,0.36645854,0.35695726,0.3507493,0.3429848,0.33795094,0.28217044,0.29681897
2009-11-02,0.3714223158741743,0.36554837,0.35691872,0.34950396,0.33922702,0.31626305,0.27824667,0.3008338
2009-11-03,0.37568420736595753,0.36107895,0.3573026,0.34218144,0.35060987,0.2903908,0.2812519,0.30783653
2009-11-04,0.37486520373323795,0.36101934,0.3550241,0.33888668,0.3242169,0.28786898,0.28737172,0.32774964
2009-11-05,0.36927911957902226,0.36102584,0.34751505,0.3506143,0.29378715,0.29159743,0.29667845,0.33964366
2009-11-06,0.3693953142513904,0.35791,0.34491464,0.3234815,0.29530776,0.2966436,0.31621295,0.34108394
2009-11-09,0.36984142269706066,0.34985954,0.3577474,0.29546112,0.3035597,0.30432448,0.3300973,0.3400182
2009-11-10,0.3661763950551815,0.34988004,0.32730564,0.2991704,0.3116147,0.323101,0.3341536,0.33613783
2009-11-11,0.35673151282505644,0.36350253,0.29939035,0.3074749,0.32012606,0.33556327,0.33291948,0.32859784
2009-11-12,0.35732047346213036,0.32124457,0.30625123,0.3111512,0.33863598,0.3381839,0.32779807,0.32574886
2009-11-13,0.3748658340521066,0.30028644,0.31214595,0.3158043,0.34913436,0.33720842,0.31960905,0.3252797
2009-11-16,0.31865959940553246,0.31762838,0.3155467,0.33556083,0.34977064,0.33336955,0.31478032,0.31609076
2009-11-17,0.3039308588474092,0.3153805,0.32228708,0.3465485,0.34565786,0.32558715,0.31279296,0.3046863
2009-11-18,0.326599595362548,0.31931823,0.3423669,0.34543103,0.33927566,0.32137835,0.30524808,0.28093392
2009-11-19,0.3229466027685476,0.3263827,0.35041782,0.342723,0.3316047,0.32028568,0.2949342,0.26668206
2009-11-20,0.32576231372552145,0.34680194,0.34900373,0.3389529,0.32892293,0.31255358,0.27374044,0.25947142
2009-11-23,0.33428962831281117,0.3505829,0.3475023,0.33188313,0.32936308,0.30194592,0.25738606,0.24498129
2009-11-24,0.3597721286883224,0.35048488,0.34379232,0.32913482,0.32118112,0.28108218,0.2476885,0.23055975
2009-11-25,0.3607656389180226,0.35057598,0.3369168,0.32954878,0.30964518,0.2656539,0.23538475,0.242823
2009-11-26,0.3584556455671184,0.3465807,0.33522677,0.3212179,0.28566933,0.2568748,0.2230016,0.26256752
2009-11-27,0.35854366215527766,0.33969453,0.33578262,0.3101083,0.27025756,0.24443921,0.23150857,0.28687844
2009-11-30,0.35402828388708585,0.34018493,0.32644567,0.28794208,0.26396948,0.23140864,0.25004435,0.30579725
2009-12-01,0.34600298107053196,0.3396077,0.31555694,0.2740356,0.25209588,0.23983371,0.27505937,0.31314373
2009-12-02,0.3472334932435749,0.3277831,0.29315278,0.26805538,0.23837964,0.2581283,0.29724193,0.3145573
2009-12-03,0.3471714344215113,0.3193114,0.2803156,0.2552836,0.2509301,0.28223246,0.30892953,0.31083736
2009-12-04,0.3329222583496736,0.2944212,0.2743655,0.24097404,0.27237165,0.30195373,0.3117307,0.3086249
2009-12-07,0.3234916662408309,0.28500113,0.26120535,0.2533311,0.2981839,0.31078255,0.30700883,0.29475382
2009-12-08,0.29306491082114494,0.2803163,0.24737561,0.2740913,0.31753993,0.31259865,0.30191097,0.31419435
2009-12-09,0.2889126275021132,0.26376027,0.26202598,0.29677176,0.32243243,0.30855253,0.28801212,0.3379129
2009-12-10,0.2839885299424256,0.25002283,0.28128758,0.31212565,0.31936747,0.30502677,0.3011472,0.32738963
2009-12-11,0.26320500071365716,0.27149978,0.30183816,0.31651768,0.31302875,0.29249862,0.32255054,0.31384254
2009-12-14,0.2508394536218763,0.28495198,0.3161159,0.31633073,0.30985993,0.3073107,0.3192503,0.30868906
2009-12-15,0.281840384081374,0.3052305,0.31954026,0.31196094,0.29652247,0.3293267,0.30772763,0.30326566
2009-12-16,0.29408198874148994,0.31736025,0.31994092,0.3099386,0.31581166,0.3238475,0.29940623,0.27968517
2009-12-17,0.31546557654196605,0.32052496,0.31641352,0.297105,0.34209412,0.31146556,0.29215264,0.26520982
2009-12-18,0.32682396018056714,0.32245505,0.3151416,0.31707475,0.33451742,0.3041883,0.27186617,0.2612059
2009-12-21,0.3279483301935794,0.31867307,0.30207372,0.34223348,0.3180926,0.29838267,0.25627607,0.26096997
2009-12-22,0.3292357367495923,0.31934655,0.32515943,0.33126837,0.30911237,0.2790224,0.24935254,0.26062045
2009-12-23,0.3246206833821341,0.3026585,0.3486411,0.31534046,0.30436057,0.26410288,0.24877405,0.24769974
2009-12-24,0.32551595812381273,0.33374992,0.332155,0.31021744,0.28417936,0.25790036,0.2499834,0.252672
2009-12-28,0.30530613605122714,0.34943864,0.31836084,0.30759096,0.26962003,0.25700653,0.24130471,0.26301974
2009-12-29,0.35041206562752547,0.32805377,0.31597197,0.28584298,0.2649641,0.25729734,0.24402042,0.2668982
2009-12-30,0.36325483539445047,0.32220104,0.3128411,0.27124017,0.2669261,0.24763882,0.2527488,0.26753455
2009-12-31,0.3316434575167021,0.3219086,0.29074138,0.26844922,0.26903772,0.25020656,0.25857052,0.2686234
2010-01-01,0.3270498327570075,0.3163188,0.277533,0.2699448,0.25686425,0.2590092,0.261123,0.28618184
2010-01-04,0.3282375262444315,0.29061913,0.27479598,0.26981026,0.25939113,0.26409224,0.26261288,0.3031302
2010-01-05,0.3219206452042024,0.28171498,0.27628312,0.25643554,0.2697118,0.26589304,0.27704114,0.35936087
2010-01-06,0.2884189958900517,0.28162098,0.27603596,0.26031232,0.2752946,0.26685518,0.29304314,0.3964647
2010-01-07,0.2860294840432571,0.28117108,0.26186445,0.2712577,0.27569193,0.28159672,0.34028888,0.3878306
2010-01-08,0.2861983253312461,0.279487,0.2677155,0.274958,0.27498552,0.297463,0.3791878,0.369424
2010-01-11,0.28584084535172316,0.2628227,0.27817166,0.27406454,0.29118934,0.34450918,0.3838017,0.35141605
2010-01-12,0.2838195928383759,0.27505255,0.2798943,0.27385062,0.30899316,0.38299888,0.36899143,0.33370775
2010-01-13,0.2622699616838061,0.28229737,0.2791217,0.29154122,0.36410785,0.3833563,0.34623677,0.3233644
2010-01-14,0.28286512717577306,0.28193086,0.2796063,0.30813178,0.4004973,0.36711964,0.32359663,0.33027315
2010-01-15,0.2894445746661095,0.2822316,0.2988896,0.35765377,0.39155668,0.3472898,0.3094409,0.33404738
2010-01-18,0.2867602230257523,0.28362432,0.31367412,0.3924347,0.36757952,0.3286932,0.31334072,0.33394337
2010-01-19,0.28679406056827383,0.30515733,0.36815232,0.38288432,0.34573922,0.31744388,0.31872407,0.3323411
2010-01-20,0.2886827333181802,0.3152023,0.3956104,0.36245778,0.3294877,0.3226736,0.32159114,0.30716994
2010-01-21,0.31611160831210317,0.37178767,0.3798987,0.34539217,0.3224919,0.32728153,0.32154274,0.28809854
2010-01-22,0.3246086136401549,0.39290613,0.36338457,0.33148247,0.33381528,0.32869405,0.30094555,0.2818125
2010-01-25,0.4110439014324694,0.37651736,0.3490669,0.32383704,0.34136313,0.3279841,0.2806998,0.2851399
2010-01-27,0.41225632788917077,0.3666304,0.33616987,0.33439186,0.342907,0.30781707,0.26992732,0.28737235
2010-01-28,0.3836152156471214,0.35325783,0.33043098,0.340293,0.34036717,0.2885968,0.27088144,0.28847855
2010-01-29,0.37288584804524927,0.34043518,0.34218496,0.33979768,0.31424594,0.2791462,0.27474508,0.2968369
2010-02-01,0.35932489900334275,0.33613783,0.34603012,0.337802,0.2919928,0.2808991,0.27866647,0.31034732
2010-02-02,0.3453426105901225,0.34916323,0.34482837,0.3141327,0.28499502,0.28410062,0.28708193,0.31863052
2010-02-03,0.342052404405883,0.3471538,0.34342825,0.2948672,0.291368,0.2861641,0.299791,0.32143155
2010-02-04,0.35929987887076964,0.3478357,0.31809005,0.2889282,0.29709524,0.29349002,0.3094355,0.32093963
2010-02-05,0.35611418269815953,0.34647083,0.29983062,0.29472348,0.2994638,0.30584222,0.31392616,0.32108903
2010-02-08,0.355508036628543,0.31658086,0.2952808,0.29755157,0.30621514,0.31465298,0.31393367,0.31263837
2010-02-09,0.35418144731188894,0.3036442,0.30127865,0.29732102,0.31869254,0.3185788,0.31297317,0.30449253
2010-02-10,0.3159053243479495,0.3026266,0.30361712,0.30455345,0.32723314,0.31860918,0.30490595,0.301252
2010-02-11,0.3077089491961458,0.3077743,0.3031739,0.31747153,0.3294982,0.317952,0.29571056,0.30068943
2010-02-12,0.3076527017284657,0.30623955,0.31116617,0.32489318,0.3269618,0.31000334,0.29040092,0.2992279
2010-02-15,0.3143841924294337,0.30670848,0.3239645,0.32623482,0.3251384,0.3013959,0.28888634,0.28765947
2010-02-16,0.3122607108495633,0.3164608,0.32983905,0.3248834,0.3163249,0.2970736,0.28802857,0.27873927
2010-02-17,0.3123724639660188,0.32764885,0.33092695,0.32465863,0.30754584,0.29609418,0.27913994,0.22666888
2010-02-18,0.3241663715799601,0.3315513,0.32979304,0.31641993,0.3041582,0.2951191,0.27023497,0.19186059
2010-02-19,0.3370516740312296,0.33327693,0.32992467,0.30820236,0.3049235,0.28562704,0.22658889,0.17190602
2010-02-22,0.3398215169155736,0.33254832,0.32137355,0.30560046,0.30510083,0.27665505,0.19127932,0.16340777
2010-02-23,0.34068371684217347,0.33366698,0.31366333,0.30624634,0.29415113,0.23088293,0.16861343,0.15902975
2010-02-24,0.3395943638952892,0.32261464,0.31202468,0.30543628,0.28380424,0.1950592,0.1579394,0.15802827
2010-02-25,0.34086979041043786,0.3179717,0.31254205,0.29402816,0.23063827,0.17335388,0.15397306,0.15821095
2010-02-26,0.3276817941507295,0.31693283,0.31140295,0.28494033,0.19090533,0.16450968,0.15476319,0.21524389
2010-03-01,0.32275544128478517,0.31674075,0.29930118,0.23314412,0.171355,0.16093513,0.15677333,0.26534554
2010-03-02,0.32287853594631344,0.31463903,0.29071885,0.19561952,0.17006564,0.16055602,0.2018617,0.294991
2010-03-03,0.3230483095656679,0.30047292,0.23793688,0.17770323,0.17238067,0.16067174,0.24751028,0.30236268
2010-03-04,0.3205425923752757,0.29554224,0.19887869,0.17446399,0.17366946,0.20476606,0.28272665,0.29248852
2010-03-05,0.3032406259216861,0.23001632,0.17614754,0.17183144,0.17121997,0.24970686,0.30042872,0.31361052
2010-03-08,0.2992951864958663,0.18259858,0.17207466,0.1666819,0.22095294,0.2832499,0.2981674,0.32854098
2010-03-09,0.181974003097204,0.18024972,0.17292945,0.16451663,0.26667255,0.29735833,0.3120497,0.3270586
2010-03-10,0.18275607820567816,0.17970783,0.17082033,0.2152257,0.29730463,0.29125103,0.3222862,0.32183295
2010-03-11,0.18196125847028652,0.1758574,0.16947843,0.2619071,0.30487192,0.3071436,0.3217431,0.31785864
2010-03-12,0.1815257307900944,0.17380989,0.22845006,0.29037046,0.29206714,0.32011837,0.3164343,0.30468398
2010-03-15,0.17612901970015435,0.17325827,0.27050143,0.2945175,0.3089952,0.32086852,0.31023848,0.29834554
2010-03-16,0.17575241802451483,0.23894282,0.2901637,0.28384084,0.32596716,0.31657204,0.29656485,0.30065975
2010-03-17,0.17486447644748962,0.2735023,0.292978,0.30570388,0.3279217,0.31183007,0.28775036,0.30282193
2010-03-18,0.28746062693994123,0.29245716,0.28397238,0.32321268,0.32207233,0.29957756,0.28747696,0.30746967
2010-03-19,0.2895773829754733,0.29302686,0.31192583,0.32357243,0.3162722,0.29268143,0.29027998,0.31279358
2010-03-22,0.2989605509284189,0.28537863,0.3276367,0.31824595,0.30362478,0.29420477,0.29594356,0.3170954
2010-03-23,0.2989002032944805,0.31964624,0.32538655,0.31571218,0.29829445,0.29732797,0.30208442,0.32820868
2010-03-24,0.28879652169638237,0.3272201,0.32237473,0.30485868,0.3026294,0.30243215,0.30707294,0.3354247
2010-03-25,0.3376919572213184,0.32597739,0.32059118,0.29943103,0.30757114,0.30784798,0.3171151,0.33884397
2010-03-26,0.33803418828440157,0.32537252,0.30935946,0.30381486,0.31413302,0.31262058,0.32504267,0.3440594
2010-03-29,0.33209358617905327,0.32439655,0.30553284,0.30793113,0.31990165,0.32273725,0.3295414,0.35910955
2010-03-30,0.33159731974995865,0.310513,0.31088078,0.3127973,0.3236502,0.3302475,0.3340415,0.36358768
2010-03-31,0.33095789058351177,0.31144476,0.31391057,0.3176879,0.3341375,0.3345028,0.34659854,0.3797308
2010-04-01,0.314148974726997,0.3162226,0.31879473,0.3217648,0.34186333,0.33921638,0.35242304,0.3876583
2010-04-05,0.3167032588530828,0.3170096,0.323717,0.33239836,0.34506315,0.3521784,0.36678782,0.38610682
2010-04-06,0.32339194844589525,0.32292813,0.32724532,0.33934134,0.34899974,0.35765386,0.37556553,0.3948459
