,Volatility_Copper_True_train,Volatility_Copper_5_train_LSTM,Volatility_Copper_5_train_real_LSTM,Volatility_Copper_22_train_LSTM,Volatility_Copper_22_train_real_LSTM
15-05-2006,0.360673464,0.19702998,0.545623911,0.14581469,0.826542624
16-05-2006,0.386861213,0.19443484,0.545129021,0.14378509,0.828048716
17-05-2006,0.390923322,0.19370955,0.66887462,0.14115791,0.825716514
18-05-2006,0.460591322,0.19281505,0.7258986,0.138369,0.831538853
19-05-2006,0.455517871,0.19149294,0.726671758,0.13545889,0.848056323
22-05-2006,0.545623911,0.19002824,0.728597193,0.13222589,0.839395876
23-05-2006,0.545129021,0.19127393,0.728059717,0.13058114,0.832636543
24-05-2006,0.66887462,0.19234094,0.7427761,0.13073938,0.787033116
25-05-2006,0.7258986,0.19199824,0.742339198,0.13194217,0.813394932
26-05-2006,0.726671758,0.18852475,0.772084312,0.13506888,0.820276612
29-05-2006,0.728597193,0.1742666,0.778182932,0.13870525,0.822169192
30-05-2006,0.728059717,0.15039085,0.777651204,0.14225182,0.814519528
31-05-2006,0.7427761,0.13148129,0.784847734,0.14461431,0.818064624
01-06-2006,0.742339198,0.12894912,0.75775196,0.14581689,0.774714006
02-06-2006,0.772084312,0.12685531,0.794007529,0.14626887,0.775887398
05-06-2006,0.778182932,0.1258769,0.786917443,0.14615022,0.630395925
06-06-2006,0.777651204,0.12658663,0.786021065,0.14547639,0.588765744
07-06-2006,0.784847734,0.13094233,0.826542624,0.14494263,0.634330976
08-06-2006,0.75775196,0.13107309,0.828048716,0.14472021,0.627537601
09-06-2006,0.794007529,0.13169757,0.825716514,0.14474648,0.628867068
12-06-2006,0.786917443,0.13115361,0.831538853,0.1449261,0.62283259
13-06-2006,0.786021065,0.13090909,0.848056323,0.14465494,0.622779588
14-06-2006,0.826542624,0.13296738,0.839395876,0.14426078,0.593242301
15-06-2006,0.828048716,0.13607593,0.832636543,0.14385131,0.583290688
16-06-2006,0.825716514,0.14337006,0.787033116,0.14367214,0.595763145
19-06-2006,0.831538853,0.14387177,0.813394932,0.14384036,0.584094255
20-06-2006,0.848056323,0.14498557,0.820276612,0.14378038,0.576434779
21-06-2006,0.839395876,0.1464441,0.822169192,0.14350548,0.564336578
22-06-2006,0.832636543,0.14934942,0.814519528,0.14312336,0.561195798
23-06-2006,0.787033116,0.1537052,0.818064624,0.1427066,0.562646732
26-06-2006,0.813394932,0.15731516,0.774714006,0.14194775,0.497717495
27-06-2006,0.820276612,0.15761161,0.775887398,0.14094642,0.497345069
28-06-2006,0.822169192,0.15429896,0.630395925,0.13966644,0.466610928
29-06-2006,0.814519528,0.14990978,0.588765744,0.13802624,0.463685628
30-06-2006,0.818064624,0.14904402,0.634330976,0.13620265,0.427740621
03-07-2006,0.774714006,0.15042922,0.627537601,0.13450678,0.42805865
04-07-2006,0.775887398,0.15027018,0.628867068,0.13305141,0.428814275
05-07-2006,0.630395925,0.1506052,0.62283259,0.13186717,0.429461257
06-07-2006,0.588765744,0.15664594,0.622779588,0.130456,0.417360889
07-07-2006,0.634330976,0.15415666,0.593242301,0.12881254,0.408651999
10-07-2006,0.627537601,0.15351996,0.583290688,0.12694882,0.373041397
11-07-2006,0.628867068,0.15251216,0.595763145,0.12526217,0.368028983
12-07-2006,0.62283259,0.15055063,0.584094255,0.12360215,0.376438825
13-07-2006,0.622779588,0.1524188,0.576434779,0.12222357,0.404220961
14-07-2006,0.593242301,0.1532819,0.564336578,0.12131761,0.406102413
17-07-2006,0.583290688,0.1545823,0.561195798,0.12072811,0.411632786
