,Volatility_Copper_True_train,Volatility_Copper_5_train_LSTM,Volatility_Copper_5_train_real_LSTM,Volatility_Copper_22_train_LSTM,Volatility_Copper_22_train_real_LSTM
2006-05-15,0.360673463787912,0.4434034,0.5456239110909469,0.76180035,0.8265426235741188
2006-05-16,0.3868612133720172,0.4943851,0.545129020863527,0.7805328,0.828048716038859
2006-05-17,0.3909233219034205,0.52366257,0.6688746195849158,0.7909038,0.8257165138725348
2006-05-18,0.46059132177243334,0.5931075,0.72589859963746,0.79211664,0.8315388532962577
2006-05-19,0.4555178708470978,0.65698874,0.7266717583084926,0.7945411,0.8480563226937106
2006-05-22,0.5456239110909469,0.68638784,0.7285971929450658,0.80420333,0.8393958759825156
2006-05-23,0.545129020863527,0.69760025,0.728059717035294,0.8035213,0.8326365431190212
2006-05-24,0.6688746195849158,0.7011449,0.7427761004084168,0.7980078,0.7870331155903002
2006-05-25,0.72589859963746,0.70968837,0.7423391977159086,0.7711967,0.8133949315407865
2006-05-26,0.7266717583084926,0.7125939,0.7720843116704128,0.7701249,0.8202766124944777
2006-05-29,0.7285971929450658,0.7295101,0.778182932422436,0.77547884,0.8221691920555976
2006-05-30,0.728059717035294,0.7393893,0.7776512042229005,0.7776314,0.8145195283953567
2006-05-31,0.7427761004084168,0.74243945,0.7848477341794392,0.7737361,0.8180646236280656
2006-06-01,0.7423391977159086,0.7473228,0.7577519602971666,0.7733613,0.7747140057228206
2006-06-02,0.7720843116704128,0.7340853,0.7940075289700729,0.75095403,0.7758873980340835
2006-06-05,0.778182932422436,0.7486125,0.7869174430915122,0.73852813,0.6303959248899464
2006-06-06,0.7776512042229005,0.75101316,0.786021064683685,0.665189,0.5887657443266504
2006-06-07,0.7848477341794392,0.7508322,0.8265426235741188,0.6037734,0.6343309759843648
2006-06-08,0.7577519602971666,0.7725265,0.828048716038859,0.59114516,0.6275376013348367
2006-06-09,0.7940075289700729,0.7816802,0.8257165138725348,0.5864225,0.6288670678138506
2006-06-12,0.7869174430915122,0.7829701,0.8315388532962577,0.5836358,0.6228325896245358
2006-06-13,0.786021064683685,0.78676015,0.8480563226937106,0.57998765,0.6227795880411782
2006-06-14,0.8265426235741188,0.79733527,0.8393958759825156,0.5789315,0.5932423013603394
2006-06-15,0.828048716038859,0.7958229,0.8326365431190212,0.56556845,0.5832906876215206
2006-06-16,0.8257165138725348,0.7914905,0.7870331155903002,0.55293816,0.5957631453748669
2006-06-19,0.8315388532962577,0.7640862,0.8133949315407865,0.55333865,0.5840942547555908
2006-06-20,0.8480563226937106,0.7690044,0.8202766124944777,0.5503953,0.5764347791400717
2006-06-21,0.8393958759825156,0.7765786,0.8221691920555976,0.5452976,0.5643365781127021
2006-06-22,0.8326365431190212,0.7793764,0.8145195283953567,0.53728485,0.5611957975900098
2006-06-23,0.7870331155903002,0.77600425,0.8180646236280656,0.53175247,0.5626467319461429
2006-06-26,0.8133949315407865,0.7770611,0.7747140057228206,0.5306638,0.49771749523554865
2006-06-27,0.8202766124944777,0.75287914,0.7758873980340835,0.500811,0.49734506907497156
2006-06-28,0.8221691920555976,0.74439096,0.6303959248899464,0.48046136,0.46661092769371615
2006-06-29,0.8145195283953567,0.66154873,0.5887657443266504,0.45740762,0.4636856277238388
2006-06-30,0.8180646236280656,0.59765416,0.6343309759843648,0.44258142,0.42774062079155384
2006-07-03,0.7747140057228206,0.6033421,0.6275376013348367,0.42047292,0.4280586502586714
2006-07-04,0.7758873980340835,0.61142266,0.6288670678138506,0.4065755,0.42881427476199063
2006-07-05,0.6303959248899464,0.6136719,0.6228325896245358,0.400501,0.4294612574469576
2006-07-06,0.5887657443266504,0.61122406,0.6227795880411782,0.39918342,0.4173608889487571
2006-07-07,0.6343309759843648,0.6096908,0.5932423013603394,0.39474007,0.4086519990751002
2006-07-10,0.6275376013348367,0.5930098,0.5832906876215206,0.38848665,0.3730413966024063
2006-07-11,0.6288670678138506,0.5791625,0.5957631453748669,0.3701846,0.3680289828621385
2006-07-12,0.6228325896245358,0.58133507,0.5840942547555908,0.35498434,0.37643882462942924
2006-07-13,0.6227795880411782,0.5774795,0.5764347791400717,0.34999084,0.4042209612442369
2006-07-14,0.5932423013603394,0.57072055,0.5643365781127021,0.36229116,0.4061024129016575
2006-07-17,0.5832906876215206,0.56137,0.5611957975900098,0.37491447,0.4116327857947224
2006-07-18,0.5957631453748669,0.5554601,0.5626467319461429,0.38601357,0.43228491252200607
2006-07-19,0.5840942547555908,0.554337,0.49771749523554865,0.40277594,0.3714223158741743
2006-07-20,0.5764347791400717,0.5197376,0.49734506907497156,0.3851927,0.37568420736595753
2006-07-21,0.5643365781127021,0.4991497,0.46661092769371615,0.370761,0.37486520373323795
2006-07-24,0.5611957975900098,0.47808242,0.4636856277238388,0.36173528,0.36927911957902226
2006-07-25,0.5626467319461429,0.4654569,0.42774062079155384,0.35481352,0.3693953142513904
2006-07-26,0.49771749523554865,0.44376928,0.4280586502586714,0.3512275,0.36984142269706066
2006-07-27,0.49734506907497156,0.43097854,0.42881427476199063,0.35019988,0.3661763950551815
2006-07-28,0.46661092769371615,0.4283151,0.4294612574469576,0.34872887,0.35673151282505644
2006-07-31,0.4636856277238388,0.42781478,0.4173608889487571,0.34385818,0.35732047346213036
2006-08-01,0.42774062079155384,0.42217302,0.4086519990751002,0.34067032,0.3748658340521066
2006-08-02,0.4280586502586714,0.41390806,0.3730413966024063,0.34738213,0.31865959940553246
2006-08-03,0.42881427476199063,0.39181834,0.3680289828621385,0.329726,0.3039308588474092
2006-08-04,0.4294612574469576,0.37563986,0.37643882462942924,0.30850428,0.326599595362548
2006-08-07,0.4173608889487571,0.37395918,0.4042209612442369,0.30265373,0.3229466027685476
2006-08-08,0.4086519990751002,0.3890205,0.4061024129016575,0.30108318,0.32576231372552145
2006-08-09,0.3730413966024063,0.39991316,0.4116327857947224,0.3028065,0.33428962831281117
2006-08-10,0.3680289828621385,0.4071578,0.43228491252200607,0.30890018,0.3597721286883224
2006-08-11,0.37643882462942924,0.4206006,0.3714223158741743,0.3258535,0.3607656389180226
2006-08-14,0.4042209612442369,0.3977952,0.37568420736595753,0.33928496,0.3584556455671184
2006-08-16,0.4061024129016575,0.3814716,0.37486520373323795,0.34567827,0.35854366215527766
2006-08-17,0.4116327857947224,0.37609378,0.36927911957902226,0.3479708,0.35402828388708585
2006-08-18,0.43228491252200607,0.37196785,0.3693953142513904,0.3459945,0.34600298107053196
2006-08-21,0.3714223158741743,0.3705343,0.36984142269706066,0.33993527,0.3472334932435749
2006-08-22,0.37568420736595753,0.370083,0.3661763950551815,0.33565733,0.3471714344215113
2006-08-23,0.37486520373323795,0.3682334,0.35673151282505644,0.33317426,0.3329222583496736
2006-08-24,0.36927911957902226,0.3623399,0.35732047346213036,0.32574376,0.3234916662408309
2006-08-25,0.3693953142513904,0.35897976,0.3748658340521066,0.3162163,0.29306491082114494
2006-08-28,0.36984142269706066,0.36661318,0.31865959940553246,0.2980219,0.2889126275021132
2006-08-29,0.3661763950551815,0.3450119,0.3039308588474092,0.28268647,0.2839885299424256
2006-08-30,0.35673151282505644,0.32013547,0.326599595362548,0.27149695,0.26320500071365716
2006-08-31,0.35732047346213036,0.31900352,0.3229466027685476,0.25788528,0.2508394536218763
2006-09-01,0.3748658340521066,0.32089993,0.32576231372552145,0.24432695,0.281840384081374
2006-09-04,0.31865959940553246,0.32407635,0.33428962831281117,0.24736278,0.29408198874148994
2006-09-05,0.3039308588474092,0.32981834,0.3597721286883224,0.25945884,0.31546557654196605
2006-09-06,0.326599595362548,0.3452423,0.3607656389180226,0.27975783,0.32682396018056714
2006-09-07,0.3229466027685476,0.35555348,0.3584556455671184,0.30036926,0.3279483301935794
2006-09-08,0.32576231372552145,0.3586807,0.35854366215527766,0.31370607,0.3292357367495923
2006-09-11,0.33428962831281117,0.35916957,0.35402828388708585,0.32044393,0.3246206833821341
2006-09-12,0.3597721286883224,0.35673594,0.34600298107053196,0.32038826,0.32551595812381273
2006-09-13,0.3607656389180226,0.35113123,0.3472334932435749,0.31869894,0.30530613605122714
2006-09-14,0.3584556455671184,0.34841654,0.3471714344215113,0.30797645,0.35041206562752547
2006-09-15,0.35854366215527766,0.34764037,0.3329222583496736,0.319308,0.36325483539445047
2006-09-18,0.35402828388708585,0.34043682,0.3234916662408309,0.33667427,0.3316434575167021
2006-09-19,0.34600298107053196,0.3309192,0.29306491082114494,0.3333793,0.3270498327570075
2006-09-20,0.3472334932435749,0.3109307,0.2889126275021132,0.32527536,0.3282375262444315
2006-09-21,0.3471714344215113,0.29624516,0.2839885299424256,0.31921872,0.3219206452042024
2006-09-22,0.3329222583496736,0.28776687,0.26320500071365716,0.3128212,0.2884189958900517
2006-09-25,0.3234916662408309,0.2742831,0.2508394536218763,0.29554066,0.2860294840432571
2006-09-26,0.29306491082114494,0.25998086,0.281840384081374,0.28086025,0.2861983253312461
2006-09-27,0.2889126275021132,0.26738542,0.29408198874148994,0.27183503,0.28584084535172316
2006-09-28,0.2839885299424256,0.28125668,0.31546557654196605,0.26741153,0.2838195928383759
2006-09-29,0.26320500071365716,0.2997927,0.32682396018056714,0.26527923,0.2622699616838061
2006-10-03,0.2508394536218763,0.3161564,0.3279483301935794,0.25651354,0.28286512717577306
2006-10-04,0.281840384081374,0.32444128,0.3292357367495923,0.25763988,0.2894445746661095
2006-10-05,0.29408198874148994,0.32812744,0.3246206833821341,0.26389426,0.2867602230257523
2006-10-06,0.31546557654196605,0.32694376,0.32551595812381273,0.26836595,0.28679406056827383
2006-10-09,0.32682396018056714,0.326009,0.30530613605122714,0.27107912,0.2886827333181802
2006-10-10,0.3279483301935794,0.31595358,0.35041206562752547,0.27329165,0.31611160831210317
2006-10-11,0.3292357367495923,0.3303514,0.36325483539445047,0.2870335,0.3246086136401549
2006-10-12,0.3246206833821341,0.3492902,0.3316434575167021,0.3021082,0.4110439014324694
2006-10-13,0.32551595812381273,0.34351876,0.3270498327570075,0.35171276,0.41225632788917077
2006-10-16,0.30530613605122714,0.33435342,0.3282375262444315,0.3906526,0.3836152156471214
2006-10-17,0.35041206562752547,0.32968232,0.3219206452042024,0.39720473,0.37288584804524927
2006-10-18,0.36325483539445047,0.32524413,0.2884189958900517,0.38874713,0.35932489900334275
2006-10-19,0.3316434575167021,0.30697992,0.2860294840432571,0.37305564,0.3453426105901225
2006-10-20,0.3270498327570075,0.29299885,0.2861983253312461,0.35447598,0.342052404405883
2006-10-23,0.3282375262444315,0.28708762,0.28584084535172316,0.34001762,0.35929987887076964
2006-10-24,0.3219206452042024,0.2855142,0.2838195928383759,0.33899614,0.35611418269815953
2006-10-25,0.2884189958900517,0.28455943,0.2622699616838061,0.3394815,0.355508036628543
2006-10-26,0.2860294840432571,0.27351308,0.28286512717577306,0.33986866,0.35418144731188894
2006-10-27,0.2861983253312461,0.2753521,0.2894445746661095,0.33952314,0.3159053243479495
2006-10-30,0.28584084535172316,0.28246063,0.2867602230257523,0.32322058,0.3077089491961458
2006-10-31,0.2838195928383759,0.2854135,0.28679406056827383,0.3064304,0.3076527017284657
2006-11-01,0.2622699616838061,0.2866578,0.2886827333181802,0.295242,0.3143841924294337
2006-11-02,0.28286512717577306,0.2874848,0.31611160831210317,0.29218763,0.3122607108495633
2006-11-03,0.2894445746661095,0.30111924,0.3246086136401549,0.29165974,0.3123724639660188
2006-11-06,0.2867602230257523,0.314845,0.4110439014324694,0.29242644,0.3241663715799601
2006-11-07,0.28679406056827383,0.36194628,0.41225632788917077,0.29878387,0.3370516740312296
2006-11-08,0.2886827333181802,0.39323407,0.3836152156471214,0.3103364,0.3398215169155736
2006-11-09,0.31611160831210317,0.39261526,0.37288584804524927,0.31997213,0.34068371684217347
2006-11-10,0.3246086136401549,0.3824236,0.35932489900334275,0.32586575,0.3395943638952892
2006-11-13,0.4110439014324694,0.36859202,0.3453426105901225,0.3279779,0.34086979041043786
2006-11-14,0.41225632788917077,0.35482055,0.342052404405883,0.32885832,0.3276817941507295
2006-11-15,0.3836152156471214,0.3465914,0.35929987887076964,0.3228759,0.32275544128478517
2006-11-16,0.37288584804524927,0.35191125,0.35611418269815953,0.3154625,0.32287853594631344
2006-11-17,0.35932489900334275,0.3551993,0.355508036628543,0.31038302,0.3230483095656679
2006-11-20,0.3453426105901225,0.3559691,0.35418144731188894,0.30773827,0.3205425923752757
2006-11-21,0.342052404405883,0.3554201,0.3159053243479495,0.3055962,0.3032406259216861
2006-11-22,0.35929987887076964,0.33606082,0.3077089491961458,0.29733455,0.2992951864958663
2006-11-23,0.35611418269815953,0.31815118,0.3076527017284657,0.2892796,0.181974003097204
2006-11-24,0.355508036628543,0.31002957,0.3143841924294337,0.252217,0.18275607820567816
2006-11-27,0.35418144731188894,0.31095153,0.3122607108495633,0.22033322,0.18196125847028652
2006-11-28,0.3159053243479495,0.3121398,0.3123724639660188,0.19623935,0.1815257307900944
2006-11-29,0.3077089491961458,0.3124598,0.3241663715799601,0.17942992,0.17612901970015435
2006-11-30,0.3076527017284657,0.31830388,0.3370516740312296,0.16800703,0.17575241802451483
2006-12-01,0.3143841924294337,0.3284565,0.3398215169155736,0.16144136,0.17486447644748962
2006-12-04,0.3122607108495633,0.3358653,0.34068371684217347,0.15856059,0.28746062693994123
2006-12-05,0.3123724639660188,0.3395148,0.3395943638952892,0.20218873,0.2895773829754733
2006-12-06,0.3241663715799601,0.3401952,0.34086979041043786,0.24775927,0.2989605509284189
2006-12-07,0.3370516740312296,0.34068102,0.3276817941507295,0.2828988,0.2989002032944805
2006-12-08,0.3398215169155736,0.33452457,0.32275544128478517,0.30206823,0.28879652169638237
2006-12-11,0.34068371684217347,0.3276525,0.32287853594631344,0.30380577,0.3376919572213184
2006-12-12,0.3395943638952892,0.32432288,0.3230483095656679,0.3226878,0.33803418828440157
2006-12-13,0.34086979041043786,0.32327428,0.3205425923752757,0.33598772,0.33209358617905327
2006-12-14,0.3276817941507295,0.32194924,0.3032406259216861,0.3384077,0.33159731974995865
2006-12-15,0.32275544128478517,0.31275406,0.2992951864958663,0.3359612,0.33095789058351177
2006-12-18,0.32287853594631344,0.30436,0.181974003097204,0.331811,0.314148974726997
2006-12-19,0.3230483095656679,0.26317167,0.18275607820567816,0.32028496,0.3167032588530828
2006-12-20,0.3205425923752757,0.2236909,0.18196125847028652,0.31181425,0.32339194844589525
2006-12-21,0.3032406259216861,0.19296205,0.1815257307900944,0.3095498,0.32383037219078503
2006-12-22,0.2992951864958663,0.17721531,0.17612901970015435,0.30939737,0.3302263326643181
2006-12-26,0.181974003097204,0.1754639,0.17575241802451483,0.31272495,0.33463186703206826
2006-12-27,0.18275607820567816,0.1733374,0.17486447644748962,0.31737787,0.33804093535563695
2006-12-28,0.18196125847028652,0.17193148,0.28746062693994123,0.3220416,0.352806153469588
2006-12-29,0.1815257307900944,0.22173443,0.2895773829754733,0.3317734,0.3553659862087808
2007-01-01,0.17612901970015435,0.26051098,0.2989605509284189,0.33970037,0.35802214800325916
2007-01-02,0.17575241802451483,0.28588906,0.2989002032944805,0.34514683,0.3647044716297405
2007-01-03,0.17486447644748962,0.2974631,0.28879652169638237,0.35079423,0.3843670936049277
2007-01-04,0.28746062693994123,0.29347834,0.3376919572213184,0.3631723,0.3802725769339296
